order_id,customer_id,order_date,order_status,total_amount,currency_code,updated_at
ORD-9001,CUST-1001,2024-04-01,completed,120.00,USD,2024-04-01T10:15:00Z
ORD-9002,CUST-1002,2024-04-02,PENDING,49.99,USD,2024-04-02T11:00:00Z
ORD-9003,CUST-1003,2024-04-03,cancelled,15.50,USD,2024-04-03T09:30:00Z
ORD-9004,CUST-1004,2024/04/05,completed,220.10,USD,2024-04-05T17:45:00Z
ORD-9005,CUST-1005,2024-04-05,processing,88.88,USD,2024-04-05T18:02:00Z
ORD-9006,CUST-1006,2024-04-06,completed,1000.009,USD,2024-04-06T14:11:00Z
ORD-9007,CUST-1007,2024-04-06,refunded,45.00,USD,2024-04-06T16:50:00Z
ORD-9008,CUST-1008,2024-04-07,completed,19.95,USD,2024-04-07T08:42:00Z
ORD-9009,CUST-1009,2024-04-08,processing,300.33,USD,2024-04-08T13:20:00Z
ORD-9010,CUST-1010,2024-04-08,completed,75.75,USD,2024-04-08T13:31:00Z
ORD-9011,CUST-1011,2024-04-09,pending,12.34,USD,2024-04-09T07:22:00Z
ORD-9999,CUST-2020,2024-04-12,completed,10.00,USD,2024-04-12T12:00:00Z
